container|/Users/minxiang/Library/Developer/CoreSimulator/Devices/459C668B-7CE8-443B-BAB3-7D3D5FFC9143/data/Containers/Data/Application/CB980414-2870-41EB-9180-54361DFD2D1F
store|/Users/minxiang/Library/Developer/CoreSimulator/Devices/459C668B-7CE8-443B-BAB3-7D3D5FFC9143/data/Containers/Data/Application/CB980414-2870-41EB-9180-54361DFD2D1F/Library/Application Support/default.store
products_active|19695
products_total|19695
suppliers_active|59
categories_active|28
product_prices|41109
history_active|35
history_total|35
pending_total|0
outbox_total|0
baseline_runs|5
baseline_records|98904
task_suppliers|0
task_categories|0
task_products|0
task_prices|0
task_history|0
