-- Android history samples
uid,id,displayName,timestamp,deletedAt,remoteId,localChangeRevision,lastSyncedLocalRevision,lastRemoteAppliedAt,lastRemotePayloadFingerprint,length(h.data),length(h.editable),length(h.complete)
43,TASK135_HISTORY_FINAL_ANDROID_20260618T143328Z,TASK135_HISTORY_FINAL_ANDROID_20260618T143328Z,"2026-06-18 14:33:29",2026-06-18T14:37:20+00:00,854d45bf-920b-4b9a-82ef-55355d7f9bac,1,1,1781795254476,0279d36cf9dce0b8abb62820ae0ee13edb63aac3fbb8c23e2d3379c8d6c6045b,289,66,18
42,87670182-d266-4c2c-bb08-368211909e9d,TASK135_HISTORY_FINAL_IOS_20260618T142841Z,"2026-06-18 14:28:41",2026-06-18T14:35:41+00:00,87670182-d266-4c2c-bb08-368211909e9d,0,0,1781795254478,ee27ab9bb14297d46a3624953aeb26f3ffb25d525fd4b32e8b60046024022cc7,273,67,17
41,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_ANDROID_MATRIX_ANDROID_HISTORY_TOMBSTONE,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_ANDROID_MATRIX_ANDROID_HISTORY_TOMBSTONE,"2026-05-21 18:00:00",2026-06-17T19:29:49+00:00,222f2a21-db39-44e5-b817-a772d0acb3fd,1,1,1781795254375,0179e1d8284fe36d38fc05800b5058867be5641b5a61872b912a67ba6b9eb81f,121,18,12
40,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_ANDROID_MATRIX_ANDROID_HISTORY_UPDATE_INITIAL,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_ANDROID_MATRIX_ANDROID_HISTORY_UPDATE_FINAL,"2026-05-21 18:00:00",,7b22539f-95b4-4165-a3b6-869bfedc27b4,1,1,1781747397888,0d8b2ddb92a89879ab7080e4aaf43bcc5121917c569ca3693a3e208692e4cf04,126,18,12
39,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_ANDROID_MATRIX_ANDROID_HISTORY_CREATE,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_ANDROID_MATRIX_ANDROID_HISTORY_CREATE,"2026-05-21 18:00:00",,53d91b99-1a32-4711-bfdc-6636a7cce6c1,0,0,1781747397826,9fa0b6c321ab4d703528f9b8b7622c9a5e69e39963124e7bd4d4e5df83a8b1ae,118,18,12
38,e8c44b56-9c84-4750-b697-4c903a7a0fa6,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_IOS_MATRIX_IOS_HISTORY_TOMBSTONE,"2026-05-13 19:20:00",2026-06-17T23:28:59+00:00,e8c44b56-9c84-4750-b697-4c903a7a0fa6,0,0,1781795254557,fd4c2e823681ee847b947ce5262e8b9bf59a4046a50fd7f6c4a49bc6c253e2c2,113,18,12
37,7be52c5a-2e8b-4090-a43f-7845c49bb13b,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_IOS_MATRIX_IOS_HISTORY_UPDATE_FINAL,"2026-05-13 19:20:00",,7be52c5a-2e8b-4090-a43f-7845c49bb13b,0,0,1781738939278,-738833736,118,18,12
36,560da308-71a5-43f2-9bf3-4c92502c0f8a,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_IOS_MATRIX_IOS_HISTORY_CREATE,"2026-05-13 19:20:00",,560da308-71a5-43f2-9bf3-4c92502c0f8a,0,0,1781738939277,1601837803,110,18,12
-- Android product samples
id,barcode,itemNumber,productName,supplierId,categoryId,purchasePrice,retailPrice,remoteId,localChangeRevision,lastSyncedLocalRevision,remoteUpdatedAt,localChangedFields,priceId,priceRemoteId,type,price
19729,TASK135_ANDROID_CROSS_20260617_193207_SINGLE_ANDROID_CREATE,TASK135_ANDROID_CROSS_20260617_193207_SINGLE_ANDROID_CREATE_ITEM,TASK135_ANDROID_CROSS_20260617_193207_SINGLE_ANDROID_PRODUCT_CREATE,89,58,44.1,55.2,f48d4174-4d95-4823-9847-3c4f7a698940,0,0,2026-06-17T23:32:32.443441+00:00,,41176,0c771d0b-1b09-43eb-91ac-ed31aba75f79,PURCHASE,44.1
19729,TASK135_ANDROID_CROSS_20260617_193207_SINGLE_ANDROID_CREATE,TASK135_ANDROID_CROSS_20260617_193207_SINGLE_ANDROID_CREATE_ITEM,TASK135_ANDROID_CROSS_20260617_193207_SINGLE_ANDROID_PRODUCT_CREATE,89,58,44.1,55.2,f48d4174-4d95-4823-9847-3c4f7a698940,0,0,2026-06-17T23:32:32.443441+00:00,,41177,30ff8bbe-78c1-472b-98da-88c7a06f86a9,RETAIL,55.2
19728,TASK135_IOS_CROSS_20260617_193032_SINGLE_IOS_CREATE,TASK135_IOS_CROSS_20260617_193032_SINGLE_IOS_CREATE_ITEM,TASK135_IOS_CROSS_20260617_193032_SINGLE_IOS_PRODUCT_CREATE,88,57,44.1,55.2,e685108e-c9e0-447c-abae-83c5238d1c2b,0,0,2026-06-17T23:31:07.457215+00:00,,,,,
19726,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_ANDROID_MATRIX_ANDROID_UPDATE,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_ANDROID_MATRIX_ANDROID_UPDATE_ITEM,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_ANDROID_MATRIX_ANDROID_PRODUCT_UPDATE_FINAL,87,56,47.15,56.2,ba4a30ea-6146-4bae-a997-9e05501937d2,1,1,2026-06-17T23:29:43.8356+00:00,,41171,c7922cd0-f3e3-400b-99b0-464a0a9ca8a2,PURCHASE,45.1
19726,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_ANDROID_MATRIX_ANDROID_UPDATE,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_ANDROID_MATRIX_ANDROID_UPDATE_ITEM,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_ANDROID_MATRIX_ANDROID_PRODUCT_UPDATE_FINAL,87,56,47.15,56.2,ba4a30ea-6146-4bae-a997-9e05501937d2,1,1,2026-06-17T23:29:43.8356+00:00,,41175,ffd9866d-1f33-45cb-ac3c-0b744050c1ca,PURCHASE,47.15
19726,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_ANDROID_MATRIX_ANDROID_UPDATE,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_ANDROID_MATRIX_ANDROID_UPDATE_ITEM,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_ANDROID_MATRIX_ANDROID_PRODUCT_UPDATE_FINAL,87,56,47.15,56.2,ba4a30ea-6146-4bae-a997-9e05501937d2,1,1,2026-06-17T23:29:43.8356+00:00,,41172,04780891-6dbd-4a52-bbba-e0145b0b9dbe,RETAIL,56.2
19725,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_ANDROID_MATRIX_ANDROID_CREATE,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_ANDROID_MATRIX_ANDROID_CREATE_ITEM,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_ANDROID_MATRIX_ANDROID_PRODUCT_CREATE,87,56,44.1,55.2,d01396aa-1076-458a-a80d-e25a88f11138,0,0,2026-06-17T23:29:41.901302+00:00,,41169,e967a0f1-dfd4-48ca-8c79-df221dae6c0a,PURCHASE,44.1
19725,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_ANDROID_MATRIX_ANDROID_CREATE,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_ANDROID_MATRIX_ANDROID_CREATE_ITEM,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_ANDROID_MATRIX_ANDROID_PRODUCT_CREATE,87,56,44.1,55.2,d01396aa-1076-458a-a80d-e25a88f11138,0,0,2026-06-17T23:29:41.901302+00:00,,41170,d9fe007c-84a6-4b27-96cd-a95328da0bef,RETAIL,55.2
-- Android supplier/category samples
kind,id,name,remoteId,localChangeRevision,lastSyncedLocalRevision,remoteUpdatedAt
supplier,89,TASK135_ANDROID_CROSS_20260617_193207_SINGLE_SUP_ANDROID,59b7c9ef-b98c-4e3f-bc9f-18e087051e70,0,0,2026-06-17T23:32:30.497281+00:00
supplier,88,TASK135_IOS_CROSS_20260617_193032_SINGLE_SUP_IOS,c270913e-4b25-4498-91fc-744b3aa4d3e1,0,0,2026-06-17T23:31:07.09928+00:00
supplier,87,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_ANDROID_MATRIX_SUP_ANDROID,062fe9cb-9299-416b-8457-78e8d4afc153,0,0,2026-06-17T23:29:41.595264+00:00
supplier,86,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_IOS_MATRIX_SUP_IOS,4fe1a22e-b30e-4a26-9146-25137bdc4e04,0,0,2026-06-17T23:28:53.464063+00:00
supplier,85,TASK135_ANDROID_AFTER_PRUNE_20260617_192425_SINGLE_SUP_ANDROID,2737e841-8a70-41aa-8e22-df5fdcfe88d5,0,0,2026-06-17T23:24:56.833668+00:00
kind,id,name,remoteId,localChangeRevision,lastSyncedLocalRevision,remoteUpdatedAt
category,58,TASK135_ANDROID_CROSS_20260617_193207_SINGLE_CAT_ANDROID,78cb80d7-627a-47ba-93b3-811482af3021,0,0,2026-06-17T23:32:30.811253+00:00
category,57,TASK135_IOS_CROSS_20260617_193032_SINGLE_CAT_IOS,19788d6a-7b00-44e0-b904-9252b0bbdec3,0,0,2026-06-17T23:31:07.258029+00:00
category,56,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_ANDROID_MATRIX_CAT_ANDROID,61161530-b7a6-4147-835f-71be690d4035,0,0,2026-06-17T23:29:41.729422+00:00
category,55,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_IOS_MATRIX_CAT_IOS,524267a3-c2b9-4bb9-aad7-6d056d0d66c6,0,0,2026-06-17T23:28:53.762965+00:00
category,54,TASK135_ANDROID_AFTER_PRUNE_20260617_192425_SINGLE_CAT_ANDROID,08b0bb35-eb87-40ab-a82b-11af383cd806,0,0,2026-06-17T23:24:57.052231+00:00
-- Android pending tombstone samples
