-- iOS history samples
Z_PK,Z_ENT,Z_OPT,ZID,ZTITLE,ZTIMESTAMP,hasRemote,remoteHex,ZREMOTEDELETEDAT,ZREMOTEUPDATEDAT,ZLOCALCHANGEREVISION,ZLASTSYNCEDLOCALREVISION,ZREMOTEPAYLOADFINGERPRINT,length(ZDATAJSON),length(ZEDITABLEJSON),length(ZCOMPLETEJSON)
214,1,2,854d45bf-920b-4b9a-82ef-55355d7f9bac,TASK135_HISTORY_FINAL_ANDROID_20260618T143328Z,803486009,1,854d45bf920b4b9a82ef55355d7f9bac,803486240,803486245.224,0,0,84c8d851f3f32f8a9771814be8de42db6620ab6d4a281dd23a13e55cec1937e9,289,66,18
213,1,4,TASK135_HISTORY_FINAL_IOS_20260618T142841Z,TASK135_HISTORY_FINAL_IOS_20260618T142841Z,803485721.9113,1,87670182d2664c2cbb08368211909e9d,803486141,803486143.281,3,3,dc047340947457232357034a48e67f9b40e5e488da5d85995e081505a7ca99f6,273,67,17
212,1,2,7b22539f-95b4-4165-a3b6-869bfedc27b4,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_ANDROID_MATRIX_ANDROID_HISTORY_UPDATE_FINAL,801079200,1,7b22539f95b44165a3b6869bfedc27b4,,803431788.964,0,0,7035d5e48aa1e70069e0de763e5938a0256e7d9e9df96af87832227aa1b05985,126,18,12
211,1,4,222f2a21-db39-44e5-b817-a772d0acb3fd,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_ANDROID_MATRIX_ANDROID_HISTORY_TOMBSTONE,801079200,1,222f2a21db3944e5b817a772d0acb3fd,803417389,803431790.697,0,0,c895bca205cef37f4eb48b1c9f6fd4f227eeecb00481c92249625f96e0c38e06,121,18,12
210,1,1,53d91b99-1a32-4711-bfdc-6636a7cce6c1,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_ANDROID_MATRIX_ANDROID_HISTORY_CREATE,801079200,1,53d91b991a324711bfdc6636a7cce6c1,,803431787.389,0,0,1288319e90dbe388ab48b14502ff272ec5a48187388442ac426d55e2b9cdd9fd,118,18,12
209,1,1,7be52c5a-2e8b-4090-a43f-7845c49bb13b,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_IOS_MATRIX_IOS_HISTORY_UPDATE_FINAL,800392800,1,7be52c5a2e8b4090a43f7845c49bb13b,,803431739.672,0,0,b8a7cee448a4c3062dc4b6bde0cf995d456b1d7fcea528853e5547a02eb55099,118,18,12
208,1,1,560da308-71a5-43f2-9bf3-4c92502c0f8a,TASK135_MATRIX_20260617_192636_RT_20260617T232636Z_IOS_MATRIX_IOS_HISTORY_CREATE,800392800,1,560da30871a543f29bf34c92502c0f8a,,803431739.434,0,0,9a618702af5c5bf12b011de0749368962ffe3f13cfc2006081264ba512329729,110,18,12
207,1,1,803c2f7a-963f-4a36-951e-ca6ab155d5d3,"",801265819,1,803c2f7a963f4a36951eca6ab155d5d3,,801451987.538,0,0,28e2c7ce10dba6de9c7bbe1be71da335df04fac24cd5db3dbc15c061d280effd,2,2,2
-- iOS product samples
Z_PK,Z_ENT,Z_OPT,ZBARCODE,ZITEMNUMBER,ZPRODUCTNAME,hasRemote,remoteHex,ZREMOTEDELETEDAT,ZREMOTEUPDATEDAT,ZSUPPLIER,ZCATEGORY,ZPURCHASEPRICE,ZRETAILPRICE,price_pk,priceHasRemote,priceRemoteHex,ZTYPE,ZPRICE
98791,3,2,AROS127,,zarcillos,1,6d510dc25c6258cd8d8630a4bf77a079,,800473500,507,370,0.0,1600.0,173276,1,3677bf1bd48654f185977bdeef76f130,retail,1600.0
98790,3,3,9986539783038,,cuerda,1,f01721ffbdaf5daab50afd4f5804157e,,800473500,507,367,875.0,1750.0,170442,1,2688edae756c510bb19090e5dd65bee1,retail,1750.0
98790,3,3,9986539783038,,cuerda,1,f01721ffbdaf5daab50afd4f5804157e,,800473500,507,367,875.0,1750.0,185623,1,7f84d3ed19335014a31a771fc703caf2,purchase,875.0
98789,3,3,9589588912178,91217,"BOTELLA DE DESINFECTANTE PARA MANOS 250ML 洗手液瓶",1,1681ccc1f1a055e792fbbea5f2de1e18,,800473500,499,370,980.0,2350.0,166379,1,08e2749331665cf98166373af9976683,retail,2350.0
98789,3,3,9589588912178,91217,"BOTELLA DE DESINFECTANTE PARA MANOS 250ML 洗手液瓶",1,1681ccc1f1a055e792fbbea5f2de1e18,,800473500,499,370,980.0,2350.0,192704,1,a94447ecd3cc5819b5556bd6b4085351,purchase,980.0
98788,3,3,9589588707026,70702,"GUANTES DE DUCHA 搓澡手套",1,927347de931e5566ab2af3016c441b5b,,800473500,499,370,480.0,1500.0,175577,1,3fe118a44c75575893a98475b01c3279,purchase,480.0
98788,3,3,9589588707026,70702,"GUANTES DE DUCHA 搓澡手套",1,927347de931e5566ab2af3016c441b5b,,800473500,499,370,480.0,1500.0,196387,1,c44243f9f4ca57fd847a5a178f8e07b2,retail,1500.0
98787,3,3,9589588921286,92128,"ENVASE DE ALUMINIO CON TAPA 230*180*40MM 4PC/",1,6f723645860557868b526298e7961d85,,800473500,499,370,1200.0,2800.0,202214,1,e9476cf160a850deb8a6b2ed7cef752d,retail,2800.0
-- iOS supplier/category samples
kind,Z_PK,Z_ENT,Z_OPT,ZNAME,remoteHex,ZREMOTEDELETEDAT,ZREMOTEUPDATEDAT
supplier,543,8,2,Amanda,218619bb6b295fa093f8c6c682f81f40,,800473500
supplier,542,8,6,Exlin,72451861894656a5be7dec7bfe0d5863,,800473500
supplier,541,8,4,Fenix,47bd773add4d5acbb8dc68063d236f61,,800473500
supplier,540,8,3,"吴晗香水",6e994185918457dcaf337248a7fe0cc0,,800473500
supplier,539,8,4,"Feliz group",dcefcdda81405d62a1f32ec9a7ab716c,,800473500
kind,Z_PK,Z_ENT,Z_OPT,ZNAME,remoteHex,ZREMOTEDELETEDAT,ZREMOTEUPDATEDAT
category,390,4,3,"发饰",94d9cc906f7d56e79a12bc9468d4e795,,800473500
category,389,4,24,Belleza,e9766f4f0c6f529ba6a28cb11c7f8a70,,800473500
category,388,4,4,"电器",fc365a3285355f72833af80ff8dc178e,,800473500
category,387,4,1,"prova categoria",238bd3b4970d4347b7f2635185faf32a,,800740090.62
category,386,4,12,"梳子",d7a8b6976cbb5378b730417a818a8f42,,800473500
-- iOS pending samples
