Initialising login role...
Connecting to remote database...
Skipping migration README.md... (file name must match pattern "<timestamp>_name.sql")


   Local          | Remote         | Time (UTC)
  ----------------|----------------|---------------------
   20260416       | 20260416       | 20260416
   20260417000000 | 20260417000000 | 2026-04-17 00:00:00
   20260417120000 | 20260417120000 | 2026-04-17 12:00:00
   20260417200000 | 20260417200000 | 2026-04-17 20:00:00
   20260418200000 | 20260418200000 | 2026-04-18 20:00:00
   20260421120000 | 20260421120000 | 2026-04-21 12:00:00
   20260422120000 | 20260422120000 | 2026-04-22 12:00:00
   20260424021936 | 20260424021936 | 2026-04-24 02:19:36
   20260424145010 | 20260424145010 | 2026-04-24 14:50:10
   20260509120000 | 20260509120000 | 2026-05-09 12:00:00
   20260511030000 | 20260511030000 | 2026-05-11 03:00:00
   20260514213110 | 20260514213110 | 2026-05-14 21:31:10
   20260515161500 | 20260515161500 | 2026-05-15 16:15:00
   20260515203000 | 20260515203000 | 2026-05-15 20:30:00
   20260515204033 | 20260515204033 | 2026-05-15 20:40:33
   20260515204135 | 20260515204135 | 2026-05-15 20:41:35
   20260522032909 | 20260522032909 | 2026-05-22 03:29:09
                  | 20260530041048 | 2026-05-30 04:10:48
                  | 20260530120000 | 2026-05-30 12:00:00
                  | 20260531050837 | 2026-05-31 05:08:37
                  | 20260531171726 | 2026-05-31 17:17:26
                  | 20260531190000 | 2026-05-31 19:00:00
                  | 20260531210000 | 2026-05-31 21:00:00
                  | 20260531230000 | 2026-05-31 23:00:00
                  | 20260531233000 | 2026-05-31 23:30:00
                  | 20260531234500 | 2026-05-31 23:45:00
                  | 20260531235000 | 2026-05-31 23:50:00
                  | 20260531235500 | 2026-05-31 23:55:00
                  | 20260531235900 | 2026-05-31 23:59:00
                  | 20260601000500 | 2026-06-01 00:05:00
                  | 20260601120000 | 2026-06-01 12:00:00
                  | 20260601160000 | 2026-06-01 16:00:00
                  | 20260604035308 | 2026-06-04 03:53:08
                  | 20260604120000 | 2026-06-04 12:00:00
                  | 20260604214112 | 2026-06-04 21:41:12
   20260618141000 |                | 2026-06-18 14:10:00

A new version of Supabase CLI is available: v2.107.0 (currently installed v2.106.0)
We recommend updating regularly for new features and bug fixes: https://supabase.com/docs/guides/cli/getting-started#updating-the-supabase-cli
